step	epoch
999	0
999	0
1999	1
1999	1
2999	2
2999	2
3999	3
3999	3
4999	4
4999	4
5999	5
5999	5
6999	6
6999	6
7999	7
7999	7
8999	8
8999	8
9999	9
9999	9
10999	10
10999	10
11999	11
11999	11
12999	12
12999	12
13999	13
13999	13
14999	14
14999	14
15999	15
15999	15
16999	16
16999	16
17999	17
17999	17
18999	18
18999	18
19999	19
19999	19
20999	20
20999	20
21999	21
21999	21
22999	22
22999	22
23999	23
23999	23
24999	24
24999	24
25999	25
25999	25
26999	26
26999	26
27999	27
27999	27
28999	28
28999	28
29999	29
29999	29
30999	30
30999	30
31999	31
31999	31
32999	32
32999	32
33999	33
33999	33
34999	34
34999	34
35999	35
35999	35
36999	36
36999	36
37999	37
37999	37
38999	38
38999	38
39999	39
39999	39
40999	40
40999	40
41999	41
41999	41
42999	42
42999	42
43999	43
43999	43
44999	44
44999	44
45999	45
45999	45
46999	46
46999	46
47999	47
47999	47
48999	48
48999	48
49999	49
49999	49
50999	50
50999	50
51999	51
51999	51
52999	52
52999	52
53999	53
53999	53
54999	54
54999	54
55999	55
55999	55
56999	56
56999	56
57999	57
57999	57
58999	58
58999	58
59999	59
59999	59
60999	60
60999	60
61999	61
61999	61
62999	62
62999	62
63999	63
63999	63
64999	64
64999	64
65999	65
65999	65
66999	66
66999	66
67999	67
67999	67
68999	68
68999	68
69999	69
69999	69
70999	70
70999	70
71999	71
71999	71
72999	72
72999	72
73999	73
73999	73
74999	74
74999	74
75999	75
75999	75
76999	76
76999	76
77999	77
77999	77
78999	78
78999	78
79999	79
79999	79
80999	80
80999	80
81999	81
81999	81
82999	82
82999	82
83999	83
83999	83
84999	84
84999	84
85999	85
85999	85
86999	86
86999	86
87999	87
87999	87
88999	88
88999	88
89999	89
89999	89
90999	90
90999	90
91999	91
91999	91
92999	92
92999	92
93999	93
93999	93
94999	94
94999	94
95999	95
95999	95
96999	96
96999	96
97999	97
97999	97
98999	98
98999	98
99999	99
99999	99
100999	100
100999	100
101999	101
101999	101
102999	102
102999	102
103999	103
103999	103
104999	104
104999	104
105999	105
105999	105
106999	106
106999	106
107999	107
107999	107
108999	108
108999	108
109999	109
109999	109
110999	110
110999	110
111999	111
111999	111
112999	112
112999	112
113999	113
113999	113
114999	114
114999	114
115999	115
115999	115
116999	116
116999	116
117999	117
117999	117
118999	118
118999	118
119999	119
119999	119
120999	120
120999	120
121999	121
121999	121
122999	122
122999	122
123999	123
123999	123
124999	124
124999	124
125999	125
125999	125
126999	126
126999	126
127999	127
127999	127
128999	128
128999	128
129999	129
129999	129
130999	130
130999	130
131999	131
131999	131
132999	132
132999	132
133999	133
133999	133
134999	134
134999	134
135999	135
135999	135
136999	136
136999	136
137999	137
137999	137
138999	138
138999	138
139999	139
139999	139
140999	140
140999	140
141999	141
141999	141
142999	142
142999	142
143999	143
143999	143
144999	144
144999	144
145999	145
145999	145
146999	146
146999	146
147999	147
147999	147
148999	148
148999	148
149999	149
149999	149
150999	150
150999	150
151999	151
151999	151
152999	152
152999	152
153999	153
153999	153
154999	154
154999	154
155999	155
155999	155
156999	156
156999	156
157999	157
157999	157
158999	158
158999	158
159999	159
159999	159
160999	160
160999	160
161999	161
161999	161
162999	162
162999	162
163999	163
163999	163
164999	164
164999	164
165999	165
165999	165
166999	166
166999	166
167999	167
167999	167
168999	168
168999	168
169999	169
169999	169
170999	170
170999	170
171999	171
171999	171
172999	172
172999	172
173999	173
173999	173
174999	174
174999	174
175999	175
175999	175
176999	176
176999	176
177999	177
177999	177
178999	178
178999	178
179999	179
179999	179
180999	180
180999	180
181999	181
181999	181
182999	182
182999	182
183999	183
183999	183
184999	184
184999	184
185999	185
185999	185
186999	186
186999	186
187999	187
187999	187
188999	188
188999	188
189999	189
189999	189
190999	190
190999	190
191999	191
191999	191
192999	192
192999	192
193999	193
193999	193
194999	194
194999	194
195999	195
195999	195
196999	196
196999	196
197999	197
197999	197
198999	198
198999	198
199999	199
199999	199
200999	200
200999	200
201999	201
201999	201
202999	202
202999	202
203999	203
203999	203
204999	204
204999	204
205999	205
205999	205
206999	206
206999	206
207999	207
207999	207
208999	208
208999	208
209999	209
209999	209
210999	210
210999	210
211999	211
211999	211
212999	212
212999	212
213999	213
213999	213
214999	214
214999	214
215999	215
215999	215
216999	216
216999	216
217999	217
217999	217
218999	218
218999	218
219999	219
219999	219
220999	220
220999	220
221999	221
221999	221
222999	222
222999	222
223999	223
223999	223
224999	224
224999	224
225999	225
225999	225
226999	226
226999	226
227999	227
227999	227
228999	228
228999	228
229999	229
229999	229
230999	230
230999	230
231999	231
231999	231
232999	232
232999	232
233999	233
233999	233
234999	234
234999	234
235999	235
235999	235
236999	236
236999	236
237999	237
237999	237
238999	238
238999	238
239999	239
239999	239
240999	240
240999	240
241999	241
241999	241
242999	242
242999	242
243999	243
243999	243
244999	244
244999	244
245999	245
245999	245
246999	246
246999	246
247999	247
247999	247
248999	248
248999	248
249999	249
249999	249
250999	250
250999	250
251999	251
251999	251
252999	252
252999	252
253999	253
253999	253
254999	254
254999	254
255999	255
255999	255
256999	256
256999	256
257999	257
257999	257
258999	258
258999	258
259999	259
259999	259
260999	260
260999	260
261999	261
261999	261
262999	262
262999	262
263999	263
263999	263
264999	264
264999	264
265999	265
265999	265
266999	266
266999	266
267999	267
267999	267
268999	268
268999	268
269999	269
269999	269
270999	270
270999	270
271999	271
271999	271
272999	272
272999	272
273999	273
273999	273
274999	274
274999	274
275999	275
275999	275
276999	276
276999	276
277999	277
277999	277
278999	278
278999	278
279999	279
279999	279
280999	280
280999	280
281999	281
281999	281
282999	282
282999	282
283999	283
283999	283
284999	284
284999	284
